Компания	У нас на проде	У Cofinder	Статус Cofinder	Сообщение об ошибке	Карьерный сайт	Пример прямой ссылки	Наша разведка
Сбер	0	1841	ok		https://rabota.sber.ru/search	https://rabota.sber.ru/search/vacancy-4570723/	нет данных
МТС	0	1571	ok		https://job.mts.ru/vacancies	https://job.mts.ru/vacancy/706822688403882249	готов
Росатом	0	1129	ok		https://rosatom-career.ru/vacancies	https://rosatom-career.ru/vacancies/6aaa7fd2e21cfefa03803b9d?hire_request_id=6aaa7cf3853faddccba8a7ca	нет данных
Яндекс	0	1097	ok		https://yandex.ru/jobs/vacancies	https://yandex.ru/jobs/vacancies/menedzher-po-razvitiyu-biznesa-stazhyor-v-market-48743	
Ozon	0	892	ok		https://career.ozon.ru/vacancy	https://career.ozon.ru/vacancy/менеджер-по-адаптации-липецк-137424097	нет данных
Альфа-Банк	0	829	error	Message: 
Stacktrace:
#0 0x565373ed6d42 <unknown>
#1 0x56537383e858 <unknown>
#2	https://job.alfabank.ru/vacancies		ошибка
ВТБ	0	740	ok		https://rabota-vtb.ru/career	https://rabota-vtb.ru/career/137434558	готов
Т-Банк	0	543	ok		https://www.tbank.ru/career/vacancies/it	https://www.tbank.ru/career/back-office/vacancy/moscow/vip-vrach-kurator/7f2cca27-3838-44f3-a622-6a4a50466fbe/	
VK	0	264	ok		https://team.vk.company/vacancy	https://team.vk.company/vacancy/52756/	готов
Золотое Яблоко	0	239	ok		https://job.goldapple.ru/search/all	https://job.goldapple.ru/vacancy/6aaa620a5a7dc2d936bb6c19-prodakt-menedzher-brenda	нет адреса вакансии
Ростелеком	0	224	ok		https://job.rt.ru/search	https://job.rt.ru/vacancy/14506	нет данных
Yadro	0	206	ok		https://careers.yadro.com/vacancies	https://careers.yadro.com/vacancy/102511	нет адреса вакансии
МегаФон	0	147	ok		https://job.megafon.ru/vacancy/all/any	https://job.megafon.ru/vacancy/moskva/it-reshenia/inzhener-lokalnoj-tehnicheskoj-podderzhki-avtomatizirovannogo-rabochego-mesta-4761	нет адреса вакансии
