Компания	Карьерная страница	Разведка	Как читаем	Адрес, откуда читаем	Проверка	Вакансий при проверке	Пример ссылки
Лента	https://career.lenta.com	нет данных					
METRO	https://rabota.metro-cc.ru/vacancies/store	готов	json	https://rabota.metro-cc.ru/SupportSrv/SupportSrv.svc/Support/v1/metro/vacancy?line=0&linesPerPage=10&objtype=VacancyMetro	подтверждено	10	https://rabota.metro-cc.ru/vacancy/27049
Перекрёсток	https://rabota.perekrestok.ru/vacancies	готов	json	https://rabota5ka.ru/gw/api/vacancy/hire-request?page=1&limit=7&radius=30000&warehouseRadius=100&portals%5B0%5D=cross	подтверждено	7	https://rabota.perekrestok.ru/vacancies/69d3e9f2e38c53f14a8edca4
Пятёрочка	https://rabota5ka.ru/vacancies	готов	json	https://rabota5ka.ru/api/vacancy/hire-request?page=1&limit=10&radius=30000&warehouseRadius=100&cityId=692434fa2de34b352c78bba8	страница рисуется скриптом и отвечает 200 даже на выдуманный адрес		
Магнит	https://rabota.magnit.ru	нет данных					
О'КЕЙ	https://www.okmarket.ru/career/vacancies	нет данных					
ВкусВилл	https://vkusvill.ru/job/vacancys	готов	html_links	https://vkusvill.ru/job/vacancys	подтверждено	20	https://vkusvill.ru/job/vacancys/
Глобус	https://rabota.globus.ru	нет данных					
Fix Price	https://fix-price.com/work/store	нет данных					
Чижик	https://chizhik.club/rabota	нет данных					
Красное&Белое	https://krasnoeibeloe.ru/job	нет данных					
ДИКСИ	https://dixy.ru/group/career/vacancy	нет данных					
Монетка	https://career.monetka.ru	нет данных					
SPAR	https://myspar.ru/career	нет данных					
Ozon	https://career.ozon.ru/vacancy	нет данных					
Мария-Ра	https://www.maria-ra.ru/karera-v-seti/vakansii	готов	html_links	https://www.maria-ra.ru/karera-v-seti/vakansii	подтверждено	23	https://www.maria-ra.ru/karera-v-seti/vakansii/
Слата	https://www.slata.ru/vacancy	нет данных					
Wildberries / РВБ	https://career.rwb.ru/vacancies	готов	json	https://career.rwb.ru/crm-api/api/v1/pub/vacancies?limit=7&offset=0	страница рисуется скриптом и отвечает 200 даже на выдуманный адрес		
Ярче!	https://работаярче.рф	готов	html_links	https://работаярче.рф	подтверждено	3	https://xn--80aacr7bjeo1cwe.xn--p1ai/nsk/kassir
Самокат · /	https://vacancy.samokat.ru	нет данных					
Lamoda	https://job.lamoda.ru/vacancies	готов	json	https://job.lamoda.ru/api/hr/vacancies/compact?search=&minExperience=&pagination[start]=0&pagination[limit]=10	подтверждено	10	https://job.lamoda.ru/vacancies/moskva/analitik-sluzhby-bezopasnosti--3020
Спортмастер · /	https://job.sportmaster.ru	нет данных					
DNS	https://www.dns-shop.ru/jobs	нет данных					
М.Видео-Эльдорадо	https://career.mvideoeldorado.ru/vacancies	нет данных					
Лемана ПРО	https://rabota.lemanapro.ru/vacancies	нет данных					
Детский мир	https://jobs.detmir.ru	готов	html_links	https://jobs.detmir.ru	подтверждено	7	http://jobs.detmir.ru/dm/prodavec-kassir#form
Золотое Яблоко · /	https://job.goldapple.ru	готов	json	https://job.goldapple.ru/api/actual-vacancies	страница рисуется скриптом и отвечает 200 даже на выдуманный адрес		
Hoff	https://job.hoff.ru	готов	json	https://job-api.hoff.ru/vacancies/?search&limit=24	список: HTTP 401		
РИВ ГОШ	https://rivegauche.ru/work	нет данных					
Петрович	https://petrovichjob.ru	готов	html_links	https://petrovichjob.ru	подтверждено	5	https://petrovichjob.ru/vakancies/b2b/
Улыбка радуги	https://rabota.r-ulybka.ru	нет данных					
