# Проверка новых адресов каталога (scripts/career-catalog-check.py), 25.09.2026
# сектор	компания	адрес	что проверено
retail	Азбука вкуса	https://av.ru/	главная, защита от ботов (450)
retail	Бристоль	https://bristol.ru/	главная, защита от ботов (401)
retail	Верный	https://www.verno-info.ru/	главная, ссылки на раздел нет в HTML (SPA)
retail	Ашан	https://www.auchan.ru/	главная, защита от ботов (401)
retail	Магнолия	https://mgnl.ru/	главная, защита от ботов (403)
retail	Купер	https://kuper.ru/	главная, защита от ботов (403)
retail	Утконос	https://www.utkonos.ru/	главная, ссылки на раздел нет в HTML (SPA)
retail	Твой Дом	https://www.tvoydom.ru/	главная: найденная ссылка вела не туда, исправлено вручную
retail	Много Мебели	https://mnogomebeli.com/	главная, ссылки на раздел нет в HTML (SPA)
retail	Askona	https://www.askona.ru/	главная, ссылки на раздел нет в HTML (SPA)
retail	Орматек	https://ormatek.com/	главная, геоблок зарубежных адресов
retail	Л'Этуаль	https://www.letu.ru/	главная, ссылки на раздел нет в HTML (SPA)
retail	Читай-город	https://rabota.chitai-gorod.ru/	раздел найден по ссылке с главной
retail	Ситилинк	https://job.citilink.ru/vacs/	раздел найден по ссылке с главной
retail	re:Store	https://re-store.ru/	главная, ссылки на раздел нет в HTML (SPA)
retail	t2	https://msk.t2.ru/about/career	раздел найден по ссылке с главной
retail	Desport	https://desport.ru/rabota	раздел найден по ссылке с главной
retail	Melon Fashion Group	https://melonfashion.ru/	главная, геоблок зарубежных адресов
retail	Sela	https://www.sela.ru/company/job/	раздел найден по ссылке с главной
retail	O'STIN	https://job.ostin.com/	главная, защита от ботов (401)
retail	Снежная Королева	https://snowqueen.ru/job/view	раздел найден по ссылке с главной
retail	Rendez-Vous	https://www.rendez-vous.ru/vacancy/	раздел вакансий проверен
retail	Твоё	https://tvoe.ru/company/vacancy/	раздел найден по ссылке с главной
retail	Concept Club	https://www.concept-club.ru/	главная, геоблок зарубежных адресов
retail	Familia	https://famil.ru/	раздел вакансий проверен
retail	SUNLIGHT	https://job.sunlight.net/	главная, защита от ботов (401)
retail	585 Золотой	https://rabota.585zolotoy.ru/	раздел найден по ссылке с главной
retail	Столички	https://stolichki.ru/	главная, защита от ботов (403)
retail	Ригла	https://www.rigla.ru/job/stores	раздел найден по ссылке с главной
